Category,Name,County,Town,Address,Phone,Hours Of Operation,Operational Notes:,Web Link,Additional Web Link,OpenMaine Changes,Latitude,Longitude,latitude,longitude
Meal Sites,Monroe Food for All,Waldo,Monroe,"28 West Main Street
 Monroe ME 04951",(207)223-9951,Temporarily Suspended Operations.,Temporarily Suspended Operations.,https://www.facebook.com/monroefoodforall/,,,,,44.61483410831146,-69.02152586831409
Meal Sites,Neighborhood Cafe,Sagadahoc,Bath,"798 Washington Street
 Bath ME 04530",(857) 523-2401,"Sunday from 4:30 PM - 5:30 PM, Mondays, Tuesdays 11:30 AM - 12:30 PM","Meals - Request Home Delivery (preferred), Curbside Delivery.",https://www.facebook.com/neighborhoodcafegoodfood/,,,,,43.912631954757934,-69.81660800279862
Food Pantry,Neighborly Niche Food Pantry,Oxford,West Paris,"14 Church St.
 West Paris ME 04289",(207)739-0771,"No specific hours of operation, various days and hours by mutually convenient appointment.",Appointment-only drive-thru model. No specific hours of operation- various days and hours by mutually convenient appointment. Food will be pre-boxed/bagged and placed on a table outside the closed pantry door.,https://www.facebook.com/neighborlyniche/,,,,,44.32516418785095,-70.57491357689428
Food Pantry,"Neighbor's Cupboard, Inc",Waldo,Winterport,"40 Park Drive
 Winterport ME 04496",(207)223-9951,Wednesdays from 9:00 AM - 10:00 AM.,"Drive Thru model with pre-packed boxes and produce. Established a “proxy” pick-up where neighbors/family members can pick up for others. Volunteer takes people’s names and family size from car, food is put on table outside of pantry, clients drive up and load into car. Some clients will need help loading car.",https://www.facebook.com/Neighbors-Cupboard-475170765987449/,,,,,44.63621507851025,-68.85309904720395
Food Pantry,Neighbors Supporting Neighbors Comm. FP,Penobscot,Hermon,"2402 US-2
 Hermon, ME 04401",(207)299-5186,"1st and 3rd Thursdays of the month, from 5:30 PM - 7:30 PM.",Created appointments to minimize community members’ contact with one another. Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,44.80487277443293,-68.9002993621549
Meal Sites,New Beginnings Outreach Program,Androscoggin,Lewiston,"134 College St
 Lewiston ME 04240",(207)795-4070,Pick Up Monday and Wednesday 12:00 PM - 2:00 PM,"Services available to individuals under age of 22, and alumni. ONLY pick-up and delivery services during April. No drop in. Call 207-794-6831 to request either of the options below. Basic needs/hygiene/food bags: Pick-up Monday and Wednesday 12 – 2 pm (call for specific items) Mobile Pantry: Delivery on Friday Must call to request a box by 4 pm Thursday.",https://www.facebook.com/NewBeginningsOutreachDropIn/?hc_location=ufi,,,,,44.102049147959875,-70.21023096505837
Food Pantry,New Harbor Food Pantry,Lincoln,New Harbor,"6 South Side
 New Harbor ME 04554",(207)529-2501,"Saturdays, 9:00 AM - 10:00 AM. Second Wed 5:00 PM - 6:30 PM",Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,43.873533838190326,-69.50042288729887
Food Pantry,Newburgh Food Pantry,Penobscot,Newburgh,"363 Lindsey Road
 Newburgh ME 04444",(207)944-5436,Fridays from 10:00 AM - 2:00 PM.,Drive-thru model with pre-packed boxes,,,,,,44.74606602746848,-69.01253897253154
Food Pantry,Newcastle Ecumenical Food Pantry,Lincoln,Newcastle,"51 Main St
 Newcastle ME 04553",(207)563-3379,Tuesdays from 9:30 AM - 11:00 AM.,"Pre-packed boxes, pre-bagged produce, curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/ecumenicalfoodpantry/?__tn__=%2Cd%2CP-R&eid=ARALaXlxV2qI5gIJzKM3jpNHghsBXGdunr6_gMMRMtaGH2fyIMx3MtaF97-daCUEFWWEUF1_pwDdUkvO,,,,,44.03471648828153,-69.53726728738835
Food Pantry,Newport Community Food Bank,Penobscot,Newport,"26 High St
 Newport ME 04953",(207)368-4402,Saturdays from 8:00 AM - 10:00 AM.,Only 5 people allowed into the pantry at a time; build boxes and bring to vehicle.,,,,,,44.83670147747811,-69.27742444383642
Food Pantry,No Greater Love Food Pantry,Waldo,Belfast,"34 Field St
 Belfast ME 04915",(207)299-2093,Sunday from 10:30 AM - 12:00 PM,Drive-thru model,https://www.facebook.com/nogreaterlovefoodpantry/,,,,,44.430999024698515,-69.01560437968146
Food Pantry,Norridgewock Community Food Cupboard,Somerset,Norridgewock,"227 Waterville Rd
 Norridgewock ME 04957",(207)957-4135,Open Mondays from 4:00 PM - 6:00 PM. Open to anyone.,"This agency has always been a drive-up model, no changes at this time",https://www.facebook.com/kvcapfec/?__tn__=%2Cd%2CP-R&eid=ARAm6fmDm6ODsioJPpeOAGbXmWWWyslrsaZlnEqw9m6CYT5xyryVdMLCjm-GIeslZoQPZcBNN5CFy7Zu,,,,,44.70515842784083,-69.77009219040792
Food Pantry,North Berwick Food Pantry,York,North Berwick,"77 High St
 North Berwick ME 03906",(207) 935-2938,Monday from 4:00 PM - 6:00 PM.,Pre-packed bags/boxes,https://www.facebook.com/North-Berwick-Food-Pantry-298846320838547/,,,,,43.3107884690691,-70.7385841776787
Meal Sites,North Fryeburg Community Chapel Dinner,Oxford,Fryeburg,"PO Box 204
 Fryeburg ME 04037",(207)462-5957,Temporarily Suspended Operations,Temporarily Suspended Operations.,,,,,,44.01716000000005,-70.97391999999996
Food Pantry,North Fryeburg Community Chapel Food Pantry,Oxford,Fryeburg,"3 North Fryeburg Road
 Fryeburg ME 04037",(207)462-5957,Tuesdays from 4:00 PM - 5:30 PM.,Drive-thru model with pre-packed boxes. Agency prepared to expand hours if needed and offer a free drive through for lunch.,,,,,,44.11219314516127,-70.97569586245612
Food Pantry,North Monmouth Food Pantry,Kennebec,North Monmouth,"151 North Main Street
 North Monmouth ME 04265",(207) 933-2400,3rd Wednesday of the month. (Open in the summer every Wednesday from 9:00 AM - 10:00 AM to distribute produce.),"Only volunteers allowed to hand out food. Volunteers will have gloves, and handle the food. Only 1 person allowed in the building at any one time.",https://www.facebook.com/NorthMonmouthCommunityChurch,,,,,44.277383546482824,-70.03056954039464
Food Pantry,Northport Food Pantry,Waldo,Northport,"489 Atlantic Hwy
 Northport ME 04849",(781) 801-0331,Open 3rd Wednesday of month 8:00 AM - 10:00 AM. Pick up by proxy and emergency calls accepted.,"Pre-packed boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/northportclc/?__tn__=%2Cd%3C-R&eid=ARDKRyFeuKvxR_N30-qs3kAQ2j-Q19Yf-nEVSUXGVeskMZy2rsij-eCljCqw-lcQkNN2QlulA5y5TrCH,,,,,44.32541522022099,-68.96077651731717
Food Pantry,Oakland UMC Food Pantry,Kennebec,Oakland,"20 West School Lane
 Oakland ME 04963",(207)465-4422,"Every Saturday from 9:00 AM - 10:00 AM, and by appointment.","Pre-packed boxes available. Established a “proxy” pick-up where neighbors/family members can pick up for others.
 Published an Emergency Plan. Reduced the number of visits to the pantry while increasing the amounts of food distributed to reduce the number of people at our site. All distribution will be done outdoors using social distancing and no physical contact.",https://www.facebook.com/Oakland-Food-Pantry-589492731080207/,,,,,44.54535910185244,-69.7192382879566
Food Pantry,Oasis Food Pantry,Penobscot,Hampden,"72 Laskey Lane
 Hampden ME 04444",(207)862-4287,Saturdays from 9:00 AM - 10:00 AM.,Drive-thru model,,,,,,44.749780781060345,-68.84139299169011
Food Pantry,Old Orchard Beach Community Food Pantry,York,Old Orchard Beach,"155 Saco Avenue
 Old Orchard Beach ME 04064",(207)776-2633,"Mondays from 2:00 PM - 7:00 PM, Tuesdays from 9:00 AM - 12:00 PM, and Thursdays from 9:00 AM - 12:00 PM.",Pre-packed boxes. Allowing minimal people to wait in the waiting room.,https://www.facebook.com/OOB-Community-Food-Pantry-129648853857427/,,,,,43.512426000000005,-70.39119149999999
Food Pantry,Old Orchard Beach Food Pantry,York,Old Orchard Beach,"6 Fountain Ave
 Old Orchard Beach ME 04064",(207)448-7729,Open on Monday and Wednesday from 9:00 AM - 11:00 AM.,Pre-packed boxes delivered curbside to limit contact,https://www.facebook.com/OOBUMC/,,,,,43.51225858257829,-70.38354226519132
Food Pantry,Orient Food Pantry,Aroostook,Orient,"82 Schoolhouse Rd #25
 Orient ME 04471",(207)448-2099,Temporarily Suspended Operations.,Orient residents should call Barbara Sharpe at (207)448-2730 for where to receive food assistance.,,,,,,12.584780000000023,-81.70512999999994
Food Pantry,Oxford Helping Hands Food Pantry,Oxford,Oxford,"85 Pleasant St
 Oxford ME 04270",(207)890-5693,Temporarily Suspended Operations - ReOpening Thursday 6/5,Temporarily Suspended Operations - ReOpening Thursday 6/5,https://www.facebook.com/WelcomeToOxfordHillsHelpingHands/,,,,,44.133036349154594,-70.49503649070917
Food Pantry,Oxford Hills Food Pantry,Oxford,Norway,"35 Paris St
 Norway ME 04268",(207)388-2712,Monday and Friday from 9:00 AM - 11:00 AM.,Two volunteers in the pantry and a younger runner to bring slips or names into the pantry and bring bags/boxes out. No more than three people in the building at a time. Clients will not enter the building,https://www.facebook.com/pages/category/Community/Oxford-Hills-Food-Pantry-288108781295656/,,,,,44.212016955306204,-70.53132497362806
Food Pantry,Oxford SDA Food Pantry,Oxford,Oxford,"259 Fore St
 Oxford ME 04270",(207)739-2871,2nd Thursday of the month from 11:00 AM - 1:00 PM.,Pre-packed boxes are put on a roller and push out the door. Community Members will not enter the building.,https://oxfordme.adventistchurch.org/,,,,,44.17755133389115,-70.51270533068849
Food Pantry,Palermo Food Pantry,Waldo,Palmero,"22 Veterans Way
 Community Center on Turner Ridge Rd
 Palmero ME 04354",(207)993-2225,"Tuesdays, 11:00 AM - 12:00 PM.",Limit number of people in pantry at one time. Require use of hand sanitizer before entering pantry. Volunteers use gloves and wear mask. Announce that people are to keep distance from others. Will make home deliveries if people are unable to come to the pantry.,http://www.townofpalermo.org/news-and-announcements/palermofoodpantry,,,,,44.36094467442438,-69.45340326183683
Meal Sites,Palmyra Baptist Worship Center Soup Kitchen,Somerset,Palmyra,"768 Main St
 Palmyra ME 04965",(207)945-5102,"Soup Kitchen: Thursdays, 12:00 PM - 2:00 PM. Food Pantry: 10:00 AM - 1:00 PM.",Offering the option to call ahead for meals to be brought out to their cars.,https://www.facebook.com/pastorhp554,,,,,44.847937723374216,-69.37156516173312
Food Pantry,Partnership Food Pantry - Greenville,Piscataquis,Greenville,"60 Mayhew Manor Road
 Greenville ME 04441",(207)518-8833,"1st and 3rd Mondays, 12:00 PM - 1:00 PM.",,,,,,,45.45532354731953,-69.59736995337295
Food Pantry,Partnership Food Pantry - Guilford,Piscataquis,Guilford,"84 Elm Street
 Guilford ME 04443",(207)518-8833,"2nd and 4th Fridays, 12:00 PM - 3:00 PM.",Drive-thru model with pre-packed boxes,,,,,,45.16605676269425,-69.39791772414047
Food Pantry,Passamaquoddy Food Pantry,Washington,Perry,"136 County Rd
 Perry ME 04667",(207)853-5139,"Monday and Tuesday, 8:00 AM - 12:00 PM. For tribal members only.",Call for appointment. Pantry box will be waiting on porch.,,,,,,44.96530398115855,-67.0647687877837
Meal Sites,Pathway Vineyard Church - Brunswick,Cumberland,Brunswick,"2 Columbus Dr
 Brunswick ME 04011",(207)784-9500,"Tuesday, 5:00 PM - 6:00 PM.",Meals To-Go. Drive through operation.,https://www.facebook.com/PathwayBrunswick/,,,,,43.91738662943647,-69.95812877938691
Food Pantry,Pathway Vineyard Church Food Pantry,Androscoggin,Lewiston,"9 Foss Road
 Lewiston ME 04240",(207)784-9500,"Fridays, 8:30 AM - 10:30 AM. Assistance appointment at pathwayvineyard.com.","Pre-packed boxes available. 
 Temporarily suspended weekly community meals.",https://www.facebook.com/PathwayVineyard/,,,,,44.055071999999996,-70.13610899999999
Meal Sites,Pathway Vineyard Church Soup Kitchen,Androscoggin,Lewiston,"9 Foss Road
 Lewiston ME 04240",(207)784-9500,Temporarily suspended weekly community meals.,Temporarily suspended weekly community meals.,https://www.facebook.com/PathwayVineyard/,,,,,44.055071999999996,-70.13610899999999
Food Pantry,Patten Community Food Cupboard,Penobscot,Patten,"Stetson Memorial United Methodist Church
 7 Houlton Street, Patten, ME 04765",(207)528-2277,"Tuesdays and Thursdays, 9:00 AM - 12:00 PM; 2nd and 4th Saturdays, 9:00 AM - 12:00 PM.",One person allowed in the pantry at a time; volunteer will build box based on patron request,,,,,,45.995196804864825,-68.44701771288013
Food Pantry,People Who Care Food Cupboard,Somerset,Madison,"108 Old Point Ave
 Madison ME 04950",(207) 399-0452,2nd and 4th Thursdays. Summer hours on Saturday is 8:00 AM - 10:00 AM.,Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,https://www.facebook.com/People-Who-Care-Food-Cupboard-311847522351717/,,,,,44.78994895891287,-69.88231424280143
Food Pantry,Phillips Area Food Pantry,Franklin,Phillips,"15 Russell Street
 Phillips ME 04966",(207)491-0118,Open Wednesday from 2:00 - 5:00 PM and Saturday from 10:00 AM - 1:00 PM. Emergency boxes as well.,"Effective 3/19/20 and until further notice, this organization will be implementing curbside/parking-lot pickup only. “Stay in your vehicle and we will come to you”.",,,,,,44.82335478934158,-70.34308795519063
Food Pantry,Poland Community Church,Androscoggin,Poland,"1212 Maine St
 Poland ME 04274",(207)998-4069,Open Wednesday 2:00 PM - 5:00 PM and Saturday 10:00 AM- 1:00 PM. Emergency Boxes available,Clients are not allowed inside. Clothing closet is temporarily closed. Pre-packed boxes are prepared based on family size and intake is handled through the kitchen window located near the entrance stairs. Boxes will be placed on the front steps for clients to pick up.,https://www.facebook.com/Poland-community-Food-Bank-393801391087341/,,,,,44.061893999999995,-70.394031
Food Pantry,Preble Street Resource - Portland FP,Cumberland,Portland,"252 Oxford St
 Portland ME 04101",(207)775-0026,Daily 1:30 PM - 3:00 PM.,Pre-packed boxes.,https://www.facebook.com/PrebleStreet/,https://www.preblestreet.org/what-we-do/food-programs/,,,,43.65877858367482,-70.26216854801203
Meal Sites,Preble Street Resource - Soup Kitchen,Cumberland,Portland,"252 Oxford St
 Portland ME 04101",(207)775-0026,Breakfast is 7:00 AM - 9:30 AM; Lunch is 11:30 AM - 1:00 PM; Dinner is 4:30 PM - 7:00 PM.,All meals are to go and available during regular Soup Kitchen Hours.,https://www.facebook.com/PrebleStreet/,https://www.preblestreet.org/what-we-do/food-programs/,,,,43.65877858367482,-70.26216854801203
Meal Sites,Progress Center-Oxford Hills Comm. Kitchen,Oxford,Norway,"5 Fore St.
 Oxford ME 04270",(207)333-2855,Food Pantry: Monday 3:00 PM - 4:00 PM,Drive thru model . Feel Better Foods Delivery on Tuesday and Oxford Meadows delivery on Wednesday.,https://progresscentermaine.org/,,,,,44.163915235068465,-70.49919141947052
Food Pantry,Project FEED Inc,Cumberland,Portland,"202 Woodford St
 Portland ME 04103",(207)761-3920,Temporarily Suspended Operations.,Temporarily Suspended Operations.,http://www.projectfeed.org/,,,,,43.670942698280534,-70.28720884762537
Food Pantry,Raymond Food Pantry,Cumberland,Raymond,"1273 Roosevelt Trl
 Raymond ME 04071",(603)828-3758,2nd and 4th Thursdays 4:00 PM - 6:00 PM.,Outside distribution with pre-packed boxes.,https://www.raymondmaine.org/community-resources/food-pantry,,,,,43.886019562582966,-70.46478074629255
Food Pantry,Richmond Food Pantry,Sagadahoc,Richmond,"15 Spruce Street
 Richmond ME 04357",(207)607-2777,"1st Wednesday of the month from 4:00 PM - 6:00 PM, 3rd Saturday of the month from 2:00 PM - 4:00 PM.","Pre-packed boxes, pre-bagged produce, curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/Richmond.Area.Food.Pantry.Inc/,,,,,44.084590354982964,-69.80447811019097
Food Pantry,Riverside UMC Food Pantry,Oxford,Porter,"5 School Street
 Porter ME 04068",(207)400-2866,1st and 3rd Fridays of the month from 8:00 AM - 9:30 AM.,"They have volunteers prepack boxes, set them outside of the pantry and the community members will drive up and load their own vehicle with the food.",https://www.facebook.com/RUMCMaine/,,,,,43.807962535648265,-70.88921389336343
Food Pantry,Root Cellar - Lewiston,Androscoggin,Lewiston,"89 Birch St
 Lewiston ME 04240",(207)782-3659,Monday - Friday 10:00 AM - 4:00 PM.,Pre-packed boxes available for pick-up. Established a “proxy” pick-up where neighbors/family members can pick up for others. Neighborhood residents to access the emergency food pantry weekly as opposed to monthly. Also serving as a school lunch pick up site. All non-food programs are shut down.,https://www.facebook.com/TheRootCellarLewiston/,,,,,44.093421000000006,-70.20985499999999
Food Pantry,Root Cellar - Portland,Cumberland,Portland,"94 Washington Ave
 Portland ME 04101",(207)774-3197,Two FANN's meet on opposite Fridays - 11:00 AM - 1:00 PM and 1:00 PM - 3:00 PM.,Reducing number of volunteers in their FANNs to sort and pre-box food and scheduling members for pick-up. By appointment only.,https://www.facebook.com/therootcellarportland/,https://therootcellar.org/,,,,43.666515000000004,-70.252911
Food Pantry,Saco Food Pantry,York,Saco,"67 Ocean Park Rd
 Saco ME 04072",(207)468-1305,"Monday - Friday, 9:00 AM - 11:00 AM, and last Tuesday of the month from 5:00 PM - 7:00 PM.","Drive-thru model. Meeting clients in the parking lot with a shopping list, volunteers fill bags and bring the food out to the cars.",https://www.facebook.com/sacofoodpantry/,,,,,43.507611,-70.422966
Meal Sites,Saco Meals Program,York,Saco,"271 Main Street
 Saco ME 04072",(207)604-0985,"Monday and Thursday, 4:00 PM - 6:00 PM.","Temporarily Suspended Operations, Closed through May",https://sacomeals.org/,,,,,43.49864439243477,-70.44503958047216
Food Pantry,Sacred Heart / St. Dominic Food Pantry,Cumberland,Portland,"80 Sherman Street
 Portland ME 04101",(207)310-7741,"Tuesdays, 9:00 AM - 11:00 AM.",Pre-packed boxes available on Tuesdays from 9:00 AM - 11:00 AM.,https://www.facebook.com/pg/SHSDPortland/posts/,,,,,43.65561763584178,-70.26956853344107
Meal Sites,Sacred Heart Soup Kitchen,Kennebec,Waterville,"70 Pleasant Street
 Waterville ME 04901",(207)872-8768,,Temporarily Suspended Operations,https://corpuschristimaine.org/sacred-heart-soup-kitchen,,,,,44.553595064400646,-69.63413286193652
Food Pantry,Safe Place Community Outreach,Penobscot,Corinth,"328 Main Street
 Corinth, ME 04427",(207)299-7671,"Wednesday, Thursday and Fridays from 9:00 AM - 12:00 PM on the 1st and 3rd weeks of each month.",Only letting in 3 people at a time to maintain social distancing.,,,,,,45.00248065751051,-69.02286979502571
Food Pantry,Salvation Army - Augusta Food Pantry,Kennebec,Augusta,"36 Eastern Avenue
 Augusta ME 04330",(207)623-3752,"Wednesdays 9-12, 12:30-4.",Pre-packed boxes available. Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,44.31019792503912,-69.76790836525474
Food Pantry,Salvation Army - Bangor Food Pantry,Penobscot,Bangor,"65 South Park St
 Bangor ME 04401",(207)941-2990,Open Monday - Friday from 8:30 AM - 3:30 PM.,Pantry distribution by appointment.,https://www.facebook.com/TheSalvationArmyBangorCitadelCorps/,,,,,44.809335000000004,-68.770989
Meal Sites,Salvation Army - Bangor Soup Kitchen,Penobscot,Bangor,"65 South Park St
 Bangor ME 04401",(207)941-2990,To-go lunches served daily,,https://www.facebook.com/TheSalvationArmyBangorCitadelCorps/,,,,,44.809335000000004,-68.770989
Food Pantry,Salvation Army - Bath Corps,Sagadahoc,Bath,"25 Congress Avenue
 Bath ME 04530",(207)443-3611,"Open Monday, Wednesday, Thursday from 10:00 AM - 1:00 PM.","Created appointments to minimize community members’ contact with one another, pre-packed boxes available for pick-up. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others, and delivering boxes to those without transportation.",https://www.facebook.com/tsa.bathbrunswick.nne.use/?__tn__=%2Cd%2CP-R&eid=ARC5CT5POUeBYDj3TKtBmrxf2c1-EdBMaZzYecVpHrHE9zyjqlvS-bjTIBh6EXrO38-uahMfIxL9cCdS,,,,,43.909166881210695,-69.83337914293955
Youth Programs,Salvation Army - Bath Kids Club,Sagadahoc,Bath,"25 Congress Avenue
 Bath ME 04530",(207)443-3611,No programming or congregate meals.,Temporarily Suspended Operations,https://www.facebook.com/tsa.bathbrunswick.nne.use/,,,,,43.909166881210695,-69.83337914293955
Food Pantry,Salvation Army - Houlton,Aroostook,Houlton,"12 Court St
 Houlton ME 04730",(207)532-2322,Soup Kitchen closed 3/18/2020. Pantry remains open on Mondays and Wednesdays at 9:00 AM.,"Pre-packed boxes available by appointment, established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/The-Salvation-Army-Houlton-423847657802909/,,,,,46.12550173688615,-67.83968001734091
Food Pantry,Salvation Army - Lewiston,Androscoggin,Lewiston,"67 Park St
 Lewiston ME 04240",(207)783-0801,"Food Pantry: Monday and Thursday 9am - 2 pm Must call ahead for pantry access, please leave a message (they are checked frequently). Soup Kitchen: Saturday 4 - 5 pm, meals to-go",Intake over the phone to have bags of food ready when the community member comes in. Currently taking walk-ins but prefer the intake method to limit contact.,https://www.facebook.com/salarmy04240/,,,,,44.09758867164877,-70.2165651534998
Meal Sites,Salvation Army - Old Orchard Beach,York,Old Orchard Beach,"2 Sixth Street
 Old Orchard Beach ME 04064",(207)934-4381,Meals program is currently closed. Pantry is taking calls daily for orders. Employees are packing orders for clients and giving clients an appointment time to pick up food curbside. Appoinments are in 15 minute increments. Facility is still closed every Wednesday.,"Pantry is now open every day, except Wednesday. Taking phone orders and giving appointments for people to pick-up food. Meals are to go. They would like people to make appointments and are working on getting the word out to clients.",https://www.facebook.com/thesalvationarmyoob/,,,,,43.512057,-70.3866105
Food Pantry,Salvation Army - Portland Food Pantry,Cumberland,Portland,"297 Cumberland Ave
 Portland ME 04101",(207)774-4172,"Mondays, Wednesdays, and Fridays from 1:00 PM - 2:30 PM.",By appointment only.,https://www.facebook.com/TheSalvationArmyPortlandMe/,,,,,43.65926999999999,-70.2597375
Food Pantry,Salvation Army - Rockland,Knox,Rockland,"27 Payne Ave
 Rockland ME 04841",(207)594-5326,"Hour Changes: Fresh Rescue: Wednesday - Friday from 10:00 AM - 1:00 PM, and Saturday from 10:00 AM - 12:00 PM. Food Boxes: Tuesday and Thursday 10:00 AM - 1:00 PM.","Pre-packed boxes, pre-bagged produce, curbside delivery. Only volunteers allowed in building.","https://www.facebook.com/Rockland-Salvation-Army-331198580339147/
 
 https://nne.salvationarmy.org/rockland",,,,,44.099013036383916,-69.12884531629042
Food Pantry,Salvation Army - Sanford,York,Sanford,"871 Main St
 Sanford ME 04073",(207)324-3134,Produce pantry every Friday from 10:00 AM - 12:00 PM. Staple boxes 2nd and 4th Friday from 9:00 AM - 3:00 PM. Emergencies as needed.,Pre-packed boxes,https://www.facebook.com/Rockland-Salvation-Army-331198580339147/,https://nne.salvationarmy.org/portland-me,,,,43.44088500000001,-70.77796649999999
Food Pantry,"Samaritan, Inc @ Glenburn Evangelical Covenant Church",Penobscot,Glenburn,"911 Hudson Road
 Glenburn, ME 04401",(207)385-6232,Thursdays from 10:00 AM - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.91085561809683,-68.84714086580301
Food Pantry,"Samaritan, Inc @ Harvest Chapel in Levant",Penobscot,Levant,"3531 Union Street
 Levant, ME 04456",(207)385-6232,Tuesdays from 10 - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.869777721622704,-68.93552968220901
Food Pantry,"Samaritan, Inc @ Hermon Baptist Church",Penobscot,Hermon,"2496 Route 2
 Hermon, ME 04401",(207)385-6232,Mondays from 10:00 AM - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.808930000000004,-68.9096655
Food Pantry,"Samaritan, Inc @ Hudson Baptist Church",Penobscot,Hudson,"2328 Hudson Road
 Hudson, ME 04449",(207)385-6232,Fridays from 10:00 AM - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.99923161806818,-68.88512910465104
Food Pantry,"Samaritan, Inc @ River City Wesleyan Church in Bangor",Penobscot,Bangor,"146 Center Street
 Bangor, ME 04401",(207)385-6232,Wednesdays from 10:00 AM - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.80881141825845,-68.77184269943436
Food Pantry,"Samaritan, Inc @ The Rock Church in Bangor",Penobscot,Bangor,"1195 Ohio Street
 Bangor, ME 04401",(207)385-6232,Saturday from 10:00 AM - 12:00 PM.,Drive-thru model,https://www.facebook.com/Samaritan-Inc-575335519242223/,,,,,44.829171,-68.8143015
Food Pantry,Searsport Congr.-Methodist FP,Waldo,Searsport,"43 East Main Street
 Searsport ME 04974",(207)548-6204,1st and 3rd Saturdays of each month from 9:00 AM - 11:00 AM.,"Pre-packed boxes, pre-bagged produce, curbside delivery. Only volunteers allowed in building.",,,,,,44.45861469815788,-68.9250994755429
Food Pantry,Sebago Warming Hut,Cumberland,Sebago,"183 Sebago Road
 Sebago ME 04029",(207)787-5105,Mondays 9:30 AM - 11:00 AM,"Starting Monday, 5/25, two patrons will be allowed to shop inside. One person per household. Masks required. Gloves will be provided.",https://www.facebook.com/groups/lizbrown6915/,https://www.townofsebago.org/general-assistance/pages/sebago-food-pantry,,,,43.84993274394516,-70.63115627940599
Meal Sites,Seniors Plus MOW - Lewiston,Androscoggin,Lewiston,"55 Alfred Plourde Parkway
 Lewiston ME 04240",(207)795-4010,"Serving between 5:00 AM -2:00 PM, Monday - Thursday.","They are still delivering meals, but are not having congregate dining.",,,,,,44.065214999999995,-70.1872425
Food Pantry,Servant's Heart Food Pantry,Oxford,Peru,"98 Main Street
 Peru ME 04290",(207)562-8356,"Tuesdays, 9:00 AM - 12:00 PM, and Saturdays from 9:00 AM - 11:00 AM.","Pre-packed boxes available during normal pantry hours. Requesting members contact them with name, number of household members, and address before arriving.
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/Servants-Heart-Food-Pantry-109433787260110/,,,,,44.52072909824575,-70.46796145432523
Food Pantry,Seventh Day Adventist Food Pantry,Androscoggin,Auburn,"316 Minot Ave
 Auburn ME 04212",(207)376-7680,"Tuesday, 9:00 AM -1:00 PM. Will deliver upon request.","Patrons are not allowed in the building. Pre-packed boxes available with produce and distributed through loading/unloading window. 
  All volunteers are required to wear gloves no matter what task they are doing and are cleaning and sanitizing when finished.",,,,,,44.08625885974008,-70.23847082786713
Food Pantry,Sidney Second Baptist Food Pantry,Kennebec,Sidney,"3022 West River Road
 Sidney ME 04330",(207)805-6362,2nd and 4th Wednesdays. Hours of operation are from 9:00 AM - 12:00 PM and 5:00 PM - 7:00 PM.,Drive-thru model,https://www.facebook.com/Sidney-Food-Pantry-292800661224149/,,,,,44.440290000000005,-69.70272299999999
Food Pantry,Skowhegan Community Food Pantry,Somerset,Skowhegan,"16 Cariani St
 Skowhegan ME 04976",(207)474-9249,"Open Monday, Wednesday, and Friday from 10:00 AM - 11:00 AM.",Clients are not allowed in the building. Pre-packed boxes are given out at the door.,https://www.facebook.com/skowhegancommunityfoodcupboard/,,,,,44.76198321233188,-69.71487225644876
Food Pantry,South Berwick Community Food Pantry,York,South Berwick,"47 Ross Street
 South Berwick ME 03908",(207)384-2193,"Open every Thursday from 6 PM - 7:30 PM, and the 1st and 3rd Fridays of the month 10 AM - 11:30 AM. Available for emergencies.",Allowing only 2 clients at a time to be served. Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,43.239509506809334,-70.80830737024641
Food Pantry,South Gardiner Baptist Church Food Pantry,Kennebec,South Gardiner,"639 River Rd
 South Gardiner ME 04359",(207)233-8883,"Open 1st Saturday of the month from 10:00 AM - 11:00 AM, 3rd Thursdays of the month from 6:30 PM -7:300 PM, or by appointment.",Pre-packed boxes,,,,,,44.18506118436915,-69.75696566085077
